title,created_at,breadcrumb,link,metadata
RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,2020-03-06,,/viewer/document/5J7tyW0wPmYo~VcmQ~KIVg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RXB,Document Revision: 2000-01 (other choices available),Version: 2000-01 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: S70-101-IOM (other choices available)"
RXF IOM with Quantum HD Controls (12-101),2020-03-06,,/viewer/document/g0NpuiJigh~YtYInMIjIzA,"Product code: 24 | 58 | 15 | 85 | 68 | 101 | 39 | 30 | 50 | 12 | 19 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RXF,Document Revision: 2018-12 (other choices available),Version: 2018-12 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.410-IOM"
RXF with Quantum HD Controls SPC (12-50),2020-03-06,,/viewer/document/scQcoS5mMvHgHnlCP2tEZA,"Product code: 24 | 19 | 50 | 15 | 12 | 39 | 30 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RXF,Document Revision: 2014-07 (other choices available),Version: 2014-07 (other choices available),Document Type: Specification Guide,Document Number: 070.410-SPC1 (other choices available)"
"SBTP Compressor IOM (4013, 4018, and 4021)",2020-03-06,,/viewer/document/SKEQ~L2YKFMx5vcYKgmv9w,"Product code: 4018 | 4013 | 4021,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: SBTP,Document Revision: 2019-05,Document Type: Installation Operation and Maintenance Guide,Document Number: 070.655-IOM"
"SBTP Compressor SPC (4013, 4018, and 4021)",2020-03-06,,/viewer/document/jIsJYuy3Y3Kf8AAE~Z2OzQ,"Product code: 4018 | 4013 | 4021,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: SBTP,Document Revision: 2017-11,Document Type: Specification Guide,Document Number: 070.655-SPC"
SGC Rotary Screw Compressors IOM (1913-3524),2020-03-06,,/viewer/document/Hms4t9ygAzAFnmWRkLfwFA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: SGC (other choices available),Document Revision: 2009-10 (other choices available),Version: 2009-10 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.650-IOM"
SGC Rotary Screw Compressors SPC (1913-3524),2020-03-06,,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,"Product code: SGCB 3515 | SGXH 3519 | SGXB 3519 | SGC 2313 | SGC 2317 | SGC 2824 | SGCB 3511 | SGCH 3519 | SGCB 3519 | SGC 1918 | SGXB 3524 | SGC 2321 | SGXH 4013 | SGC 1913 | SGCH 3515 | SGC 2817 | SGXH 4018 | SGXH 4021 | SGC 2813 | SGCH 3511 | SGC 2821 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: SGC | SGCB | SGCH | SGX (other choices available),Document Revision: 2014-11 (other choices available),Version: 2014-11 (other choices available),Document Type: Specification Guide,Document Number: 070.650-SPC"
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",2020-03-06,,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,"Product code: 408XL | 408S | 408L,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: TDSB | TDSH,Document Revision: 2011-04,Version: 2011-04,Document Type: Installation Operation and Maintenance Guide,Document Number: 070.250-IOM"
TDS Rotary Screw Compressor IOM (163-355),2020-03-06,,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,"Product code: TDSH 355L | TDSB355U | TDSH 355XL | TDSL 193S | TDSL 283L | TDSL 193L | TDSH 233L | TDSH 283SX | TDSH 233S | TDSH 233XL | TDSH 193L | TDSL 233S | TDSL 283S | TDSH 283S | TDSH 163L | TDSL 233L | TDSH 355S | TDSH 193S | TDSB 355S | TDSB 355L | TDSH 283L | TDSB 355XL | TDSH 163S,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: TDSB | TDSH | TDSL,Document Revision: 2016-04,Version: 2016-04,Document Type: Installation Operation and Maintenance Guide,Document Number: 070.250-IOM1"
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",2020-03-06,,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,"Product code: TDSH 233S | TDSH 283L | TDSH 193L | TDXH 355XL | TDXH 355S | TDXH 408L | TDXH 408XL | TDSH 233L | TDXB 355S | TDXH 355L | TDSH 283S | TDSH 163L | TDSH 233XL | TDXB 355U | TDSH 283SX | TDXH 408S | TDXB 355L | TDSH 163S | TDXB 355XL | TDSH 193S,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: TDSH | TDXB | TDXH,Document Revision: 2014-11,Version: 2014-11,Document Type: Specification Guide,Document Number: 070.250-SPC"
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),2020-03-06,,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: PDSH | TDSH,Document Revision: 2012-01 (other choices available),Version: 2012-01 (other choices available),Document Type: Specification Guide,Document Number: 070.500-SPC"
"XJF IOM (95, 120, and 151)",2020-03-06,,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,"Product code: XJF 151N | 120M | XJF 151A | XJF 151L | 95M | 95L | 95S | XJF 151M | 120L | 120S,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: XJF | XJS,Document Revision: 2013-11,Version: 2013-11,Document Type: Installation Operation and Maintenance Guide,Document Number: 070.450-IOM"
XJF Rotary Screw Compressor SPC (151X),2020-03-06,,/viewer/document/dQiUkeXqaWQce9e7ftYicA,"Product code: 151XP | 151XR | 151XQ | 151XS | 151XT (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: XJF,Document Revision: 2014-03 (other choices available),Version: 2014-03 (other choices available),Document Type: Specification Guide,Document Number: 070.455-SPC"
XJS/XJF Rotary Screw Compressor SPC (95-151),2020-03-06,,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,"Product code: XJF 151N | 120M | XJF 151A | XJF 151L | 95M | 95L | 95S | XJF 151M | 120L | 120S (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: XJF | XJS,Document Revision: 2014-03 (other choices available),Version: 2014-03 (other choices available),Document Type: Specification Guide,Document Number: 070.510-SPC"
AcuAir Distribution Accessories SPC,2020-03-10,,/viewer/document/IrxHjRvmO0KWYNb0k5hs2g,"Product code: FS-07 | FS-50 | FS-60 | FS-10 | FS-20 | FS-40 | FS-30 | FS-25 | FS-01 | FS-05 | FS-35 | FS-15 | FS-03,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir | Air Diffuser,Document Revision: 2015-10,Document Type: Specification Guide,Document Number: 210.200-SPC2"
AcuAir Food Grade Series SPC,2020-03-10,,/viewer/document/~szOCIHYB9h_hB4TfDrrdQ,"Product code: YC-AA-F-07 | YC-AA-F-50 | YC-AA-F-40 | YC-AA-F-30 | YC-AA-F-20 | YC-AA-F-10 | YC-AA-F-80 | YC-AA-F-70 | YC-AA-F-15 | YC-AA-F-60,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir | Food Grade Series,Document Revision: 2018-07,Document Type: Specification Guide,Document Number: 210.210-SPC1"
AcuAir Fully Welded Supply Air Diffusers SPC,2020-03-10,,/viewer/document/2Akh9pp_w_na2SwNZvejlQ,"Product code: WFS-6539 | WFS-4535 | WFS-6547 | WFS-4517 | WFS-6527 | WFS-6531 | WFS-2510 | WFS-1508 | WFS-1506 | WFS-2515 | WFS-4529 | WFS-4523 | WFS-2520 | WFS-1512,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir | Air Diffuser,Document Revision: 2018-02,Document Type: Specification Guide,Document Number: 210.230-SPC1"
AcuAir Hygienic Air Handling IOM,2020-03-10,,/viewer/document/4DA73NJdo5KDyvJq7yq59A,"Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir,Document Revision: 2018-07,Document Type: Installation Operation and Maintenance Guide,Document Number: 210.100-IOM"
AcuAir Performance Series Makeup Air Units SPC,2020-03-10,,/viewer/document/3biGAnAQipZ6iqRvjBY9WA,"Product code: YC-AA-P-20-MA | YC-AA-P-50-MA | YC-AA-P-30-MA | YC-AA-P-70-MA | YC-AA-P-15-MA | YC-AA-P-05-MA | YC-AA-P-10-MA | YC-AA-P-60-MA | YC-AA-P-03-MA | YC-AA-P-40-MA | YC-AA-P-07-MA,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir | Makeup Air Unit,Document Revision: 2018-07,Document Type: Specification Guide,Document Number: 210.205-SPC1"
AcuAir Performance Series SPC,2020-03-10,,/viewer/document/5nnEnOq5hESCaFlr0M6m0g,"Product code: YC-AA-P-20 | YC-AA-P-40 | YC-AA-P-07 | YC-AA-P-15 | YC-AA-P-30 | YC-AA-P-80 | YC-AA-P-10 | YC-AA-P-50 | YC-AA-P-70 | YC-AA-P-60,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir,Document Revision: 2018-07,Document Type: Specification Guide,Document Number: 210.200-SPC1"
AcuAir Quantum LX CS - Ver. 3.0x,2020-03-10,,/viewer/document/~sjJwC990PwnCbuQRXZljg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Control,Product: AcuAir | Quantum LX,Document Revision: 2010-10 (other choices available),Version: 2010-10 (other choices available),Document Type: Communications Setup Guide,Document Number: 090.510-CS"
AcuAir Quantum LX M - Ver. 3.0x,2020-03-10,,/viewer/document/rCIOVzrdjowMs23VSbThYQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Control,Product: AcuAir | Quantum LX,Document Revision: 2010-10 (other choices available),Version: 2010-10 (other choices available),Document Type: Maintenance Guide,Document Number: 090.510-M"
AcuAir Quantum LX O - Ver. 3.2x,2020-03-10,,/viewer/document/Ty96SAiqRqDrns1vDw~XJA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Control,Product: AcuAir | Quantum LX,Document Revision: 2013-09 (other choices available),Version: 2013-09 (other choices available),Document Type: Operation Guide,Document Number: 090.510-O"
AcuAir Quantum LX O Service - Ver. 3.0x,2020-03-10,,/viewer/document/9_HH3Bd1pLz6~0leTKMqug,"Business: Industrial Refrigeration,Brand: FRICK,Category: Control,Product: AcuAir | Quantum LX,Document Revision: 2007-03 (other choices available),Version: 2007-03 (other choices available),Document Type: Operation Guide,Document Number: 090.512-O"
AcuAir Sanitary Series SPC,2020-03-10,,/viewer/document/_IChvzNomcZSOVBVmoKmPQ,"Product code: YC-AA-S-40 | YC-AA-S-70 | YC-AA-S-20 | YC-AA-S-50 | YC-AA-S-15 | YC-AA-S-30 | YC-AA-S-10 | YC-AA-S-60 | YC-AA-S-80 | YC-AA-S-07,Business: Industrial Refrigeration,Brand: FRICK,Category: Hygienic Air Handler,Product: AcuAir | Sanitary Series,Document Revision: 2017-02,Document Type: Specification Guide,Document Number: 210.220-SPC1"
Compressor Oil Analysis SPC,2020-03-10,,/viewer/document/A5SKXzGMAJQl5Lbgrv4lcw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor | General,Product: Compressor Oil,Document Revision: 2000-05,Document Type: Specification Guide,Document Number: 020.010-SPC"
Compressor Oil Specifications,2020-03-10,,/viewer/document/ClbVwU_NiHtKwpEuDwmGww,"Business: Industrial Refrigeration,Brand: FRICK,Category: Accessory,Product: Compressor Oil,Document Revision: 2017-05,Document Type: Specification Guide,Document Number: 160.802-SPC"
ECC/ECL/ECC-C Evaporative Condensers IOM,2020-03-10,,/viewer/document/S4e760i2MT3wbJi~jW7H9A,"Product code: ECC-512 | ECC-818 | ECC-812 | ECC-C-712 | ECC-036 | ECC-033 | ECC-312 | ECL-0809 | ECL-0412 | ECL-0406 | ECC-039 | ECC-1212 | ECC-1218 | ECC-1236 | ECC-C-718 | ECC-1224 | ECL-0403 | ECL-0812 | ECL-0409,Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: ECC | ECL,Document Revision: 2015-11,Document Type: Installation Operation and Maintenance Guide,Document Number: 140.930-IOM"
ECH Evaporative Condensers IOM,2020-03-10,,/viewer/document/qlEeuCxCzkI5PQ8Ra4tKVw,"Product code: ECH-809 | ECH-1212 | CH-2424 | ECH-1224 | ECH-2629 | ECH-806 | ECH-1218 | ECH-2412 | ECH-812 | ECH-1236 | ECH-2614,Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: ECH,Document Revision: 2013-12,Document Type: Installation Operation and Maintenance Guide,Document Number: 140.910-IOM"
ECOSS Evaporative Condenser IOM,2020-03-10,,/viewer/document/zffpArL5~jU9RscIs5dREQ,"Product code: IDSC 1018 | IDSC 1236 | IDSC 2412 | IDSC 2418 | IDSC 2436 | IDSC 1218 | IDSC 1224 | IDSC 1036 | IDSC 1024 | IDSC 1212 | IDSC 2424 | IDSC 1012,Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: ECOSS | IDSC,Document Revision: 2018-04,Document Type: Installation Operation and Maintenance Guide,Document Number: 140.010-IOM"
ECOSS Evaporative Condenser SG,2020-03-10,,/viewer/document/ErhykcS_8nttiV2teOTMOw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: ECOSS,Document Revision: 2018-06,Document Type: Datasheet,Document Number: 140.010-SG1"
"Enchanced, Unit Mounted Solid-State Starter ADV",2020-03-10,,/viewer/document/fPQsmgjhepv7LptCtsHWHg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Motors and Starters,Product: Solid-State Starter,Document Revision: 2012-11,Document Type: Datasheet,Document Number: 100.100-ADV05"
Extended Warranty Programs Plus 3 ADV,2020-03-10,,/viewer/document/7m4JzQ56YwHAAEfa4hXAOg,"Business: Industrial Refrigeration,Brand: FRICK,Category: General,Product: Not applicable,Document Revision: 2018-08,Document Type: Datasheet,Document Number: 020.100-ADV1"
Extended Warranty Programs Plus 4 ADV,2020-03-10,,/viewer/document/DqvkLfLi9QboQL8ML4Xjrw,"Business: Industrial Refrigeration,Brand: FRICK,Category: General,Product: Not applicable,Document Revision: 2018-08,Document Type: Datasheet,Document Number: 020.100-ADV2"
Extended Warranty Programs Plus 5 ADV,2020-03-10,,/viewer/document/aYZzCbj4MBIWBuL~EcxpzQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: General,Product: Not applicable,Document Revision: 2018-08,Document Type: Datasheet,Document Number: 020.100-ADV3"
EZ-Cal High Pressure Cut-Out Test Block and Calibration Kit O,2020-03-10,,/viewer/document/mSQHzaJGgE3VmEX_ul34_w,"Business: Industrial Refrigeration,Brand: FRICK,Category: Accessory,Product: EZ-CAL,Document Revision: 2018-04,Document Type: Operation Guide,Document Number: 160.100-IO"
FRICK Motor-Plus ADV,2020-03-10,,/viewer/document/Wanp_LArhB3zBJ0qltAUsg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Motors and Starters,Product: Motor-plus package,Document Revision: 2011-12,Document Type: Datasheet,Document Number: 100.100-ADV04"
Horizontal and Vertical Recirculator Package IOM,2020-03-10,,/viewer/document/p_O9ZfLsO2wIZ6~mizSarw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Vessel,Product: Horizontal | Recirculator | Vertical,Document Revision: 2016-11,Document Type: Installation Operation and Maintenance Guide,Document Number: 120.200-IOM"
IDC2 Evaporative Condenser IOM,2020-03-10,,/viewer/document/o9qF~W7adtiS5aYhiH~WPw,"Product code: IDC2-X-1012 | IDC2-X-1212 | IDC2-X-1218 | IDC2-X-0406 | IDC2-X-0412 | IDC2-X-7409 | IDC2-X-7418,Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: IDC2,Document Revision: 2013-12,Document Type: Installation Operation and Maintenance Guide,Document Number: 140.940-IOM"
IDCF and IDC3 Evaporative Condenser IOM,2020-03-10,,/viewer/document/k1dw~_kKSQoKhtZVgyilEg,"Product code: IDCF-2420 | IDC3-0412 | IDCF-0412 | IDC3-1212 | IDCF-2418 | IDC3-2418 | IDCF-1240 | IDC3-1024 | IDCF-1212 | IDC3-2424 | IDC3-1218 | IDCF-1236 | IDCF-0709 | IDCF-2412 | IDC3-2436 | IDCF-2440 | IDCF-1024 | IDC3-0406 | IDC3-0709 | IDC3-1236 | IDCF-0406 | IDCF-1220 | IDC3-0718 | IDC3-2012 | IDCF-0718 | IDCF-1218 | IDCF-2436 | IDC3-1012 | IDCF-2012 | IDC3-2412 | IDCF-2424 | IDCF-1012 | IDC3-1224 | IDCF-1224,Business: Industrial Refrigeration,Brand: FRICK,Category: Condenser,Product: IDC3 | IDCF,Document Revision: 2018-02,Document Type: Installation Operation and Maintenance Guide,Document Number: 140.960-IOM"
LazerWeld Plate Heat Exchangers ADV - Backwash,2020-03-10,,/viewer/document/Gr8sC6pFvuqNdanDnG_pFA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2015-11,Document Type: Datasheet,Document Number: 190.210-ADV07"
LaZerWeld Plate Heat Exchangers ADV - Chlorides Tip,2020-03-10,,/viewer/document/Sx7T60r8LBkFO~8LQVzk0w,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2015-11,Document Type: Datasheet,Document Number: 190.210-ADV01"
LazerWeld Plate Heat Exchangers ADV - Exclusive Features,2020-03-10,,/viewer/document/6nOs3hEHDK2JUp1ovy~I3Q,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2015-11,Document Type: Datasheet,Document Number: 190.210-ADV02"
LazerWeld Plate Heat Exchangers ADV - Gasket,2020-03-10,,/viewer/document/OsGrxnfkzMgC5wDzPgY~eA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2017-06,Document Type: Datasheet,Document Number: 190.210-ADV11"
LazerWeld Plate Heat Exchangers ADV - Heat Recovery,2020-03-10,,/viewer/document/7ag2zWSJFO6cF11gW645Mw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2012-12,Document Type: Datasheet,Document Number: 190.210-ADV05"
LazerWeld Plate Heat Exchangers ADV - LZW 360 and LZW 800,2020-03-10,,/viewer/document/FDAR~xWdxOliTpHGmIPHDA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2017-08,Document Type: Datasheet,Document Number: 190.210-ADV12"
LazerWeld Plate Heat Exchangers ADV - LZW-650,2020-03-10,,/viewer/document/tu8d9ixV4SDO1g5d3cA7aQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2012-07,Document Type: Datasheet,Document Number: 190.210-ADV04"
LazerWeld Plate Heat Exchangers ADV - Plate and Heat Exchnager Technology,2020-03-10,,/viewer/document/af5UDCV1M6x30u_niM3RTg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2013-03,Document Type: Datasheet,Document Number: 190.210-ADV06"
LazerWeld Plate Heat Exchangers ADV - PLW Fluid Chiller,2020-03-10,,/viewer/document/dIw6EPkBYA9P_FKgXx98zA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2016-06,Document Type: Datasheet,Document Number: 190.210-ADV10"
LazerWeld Plate Heat Exchangers ADV - Recovering Heat,2020-03-10,,/viewer/document/ztCpAkysMee~4NEO98Lk7g,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2015-11,Document Type: Datasheet,Document Number: 190.210-ADV03"
LazerWeld Plate Heat Exchangers ADV - Selection,2020-03-10,,/viewer/document/SVHz9aJnyyPjjae52RMXJA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2013-01,Document Type: Datasheet,Document Number: 190.210-ADV08"
LazerWeld Plate Heat Exchangers ADV - Technology,2020-03-10,,/viewer/document/L_AW6lKXyB6B782paDPEbA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2013-10,Document Type: Datasheet,Document Number: 190.210-ADV09"
LazerWeld Plate Heat Exchangers IOM,2020-03-10,,/viewer/document/ADS5IYwgo3W2Zj0umFf1Kg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2018-03,Document Type: Installation Operation and Maintenance Guide,Document Number: 190.200-IOM"
LazerWeld Service Request Form,2020-03-10,,/viewer/document/MFFjlsTWydQeDgLDDV~~RQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Heat Exchanger,Product: LaZerWeld,Document Revision: 2018-01,Document Type: Data Form,Document Number: 190.200-FRM"
Low Noise-Smart Series and Inverter Duty Motor ADV,2020-03-10,,/viewer/document/c4YmqLrOOhWGCm2KuHsEag,"Business: Industrial Refrigeration,Brand: FRICK,Category: Motors and Starters,Product: Inverter Duty Motor | Low Noise-Smart Series,Document Revision: 2011-03,Document Type: Datasheet,Document Number: 100.100-ADV03"
NGC Rotary Screw Compressors IOM (100-450),2020-03-10,,/viewer/document/FN8LGCm_zaJWAZ_3JfdXnw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: NGC,Document Revision: 2016-06 (other choices available),Version: 2016-06 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.550-IOM"
